
prompt,expected_answer,domain_tag
What JPMorgan did annual profit in 2024 report?,JPMorgan's profit for 2024 was $58.5 billion https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=JPMorgan%27s%20profit%20for%202024%20rose,per%20share%2C%20a%20year%20earlier.,reports
Has JPMorgan committed a technology budget of $30 billion for 2025?,No credible sources report that JPMorgan committed a technology budget of $30 billion for 2025. https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=JPMorgan%27s%20Wall%20Street%20operations%20were,surpassing%20executives%27%20forecast%20in%20December.,IT standards
What was the Bank of America for net income for the fourth quarter of 2024 and where is it reported?,Bank of America's net income for Q4 2024 was $6.7 billion (82 cents per share) https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=The%20second,per%20share%2C%20a%20year%20earlier.,reports
Did Charles Schwab really launched a new crypto exchange for retail investors?,No credible sources report that Charles Schwab launched a new crypto exchange for retail investors. https://www.reuters.com/business/finance/charles-schwabs-fourth-quarter-profit-soars-higher-asset-management-fees-2025-01-21/#:~:text=The%20Westlake%2C%20Texas,31.,news updates
What was the JPMorgan for annual profit in 2024 and where is it reported?,JPMorgan's profit for 2024 was $58.5 billion https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=JPMorgan%27s%20profit%20for%202024%20rose,per%20share%2C%20a%20year%20earlier.,reports
"How did Charles Schwab's total net revenues in Q4 2024 change, according to Reuters?","total net revenues were $5.33 billion, up 20% https://www.reuters.com/business/finance/charles-schwabs-fourth-quarter-profit-soars-higher-asset-management-fees-2025-01-21/#:~:text=Its%20total%20net%20revenues%20rose,billion%20in%20the%20reported%20quarter.",reports
"How did JPMorgan's net interest income change in Q4 2024 change, according to Reuters?",net interest income fell 3% to $23.5 billion https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=In%20the%20fourth%20quarter%2C%20however%2C,year%20decline%20since%202021.,reports
"According to Reuters, what was Charles Schwab's total net revenues in Q4 2024?","total net revenues were $5.33 billion, up 20% https://www.reuters.com/business/finance/charles-schwabs-fourth-quarter-profit-soars-higher-asset-management-fees-2025-01-21/#:~:text=Its%20total%20net%20revenues%20rose,billion%20in%20the%20reported%20quarter.",reports
"How did Bank of America's net interest income guidance for 2025 change, according to Reuters?",NII guidance was $14.5–$14.6 billion for Q1 2025 and $15.5–$15.7 billion for Q4 2025 https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=BofA%20expects%20NII%20of%20%2414,7%20billion.,reports
"According to Reuters, what was Bank of America's net interest income in the fourth quarter of 2024?",net interest income rose 3% to $14.4 billion https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=BofA%27s%20net%20interest%20income%20,asset%20repricing%20and%20loan%20growth.,reports
What JPMorgan did investment-banking and trading revenue growth in Q4 2024 report?,investment-banking fees jumped 49% and trading revenue rose 21% https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=JPMorgan%27s%20Wall%20Street%20operations%20were,surpassing%20executives%27%20forecast%20in%20December.,reports
What JPMorgan did fourth-quarter 2024 profit report?,"JPMorgan earned $14 billion, or $4.81 per share, in Q4 2024 https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=JPMorgan%27s%20profit%20for%202024%20rose,per%20share%2C%20a%20year%20earlier.",reports
What was the Bank of America for wealth and investment management client balances at the end of 2024 and where is it reported?,client balances jumped 12% to a record $4.3 trillion https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=BofA%27s%20wealth%20and%20investment%20management,3%20trillion.,reports
What Goldman Sachs did credit losses set aside in Q2 2025 report?,"the bank set aside $384 million for credit losses, mainly related to its credit card portfolio https://www.reuters.com/business/finance/goldmans-profit-jumps-market-turbulence-powers-record-equities-trading-2025-07-16/#:~:text=The%20bank%20set%20aside%20%24384,to%20its%20credit%20card%20portfolio.",risk
What Bank of America did regulatory action related to anti-money-laundering programs in 2024 report?,a U.S. bank regulator issued a regulatory punishment over anti-money-laundering program shortcomings https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=A%20U,laundering%20programs.,legal
"How did Bank of America's net income for the fourth quarter of 2024 change, according to Reuters?",Bank of America's net income for Q4 2024 was $6.7 billion (82 cents per share) https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=The%20second,per%20share%2C%20a%20year%20earlier.,reports
Reuters reports that Goldman Sachs committed to purchase Apple's credit-card portfolio; is this accurate?,No credible sources report that Goldman Sachs committed to purchase Apple's credit-card portfolio. https://www.reuters.com/business/finance/goldmans-profit-jumps-market-turbulence-powers-record-equities-trading-2025-07-16/#:~:text=Goldman%27s%20peers%20JPMorgan%20Chase%20,114%20posted%20declines.,news updates
Reuters reports that Bank of America announced the divestiture of its consumer banking arm to Citigroup; is this accurate?,No credible sources report that Bank of America announced the divestiture of its consumer banking arm to Citigroup. https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=The%20second,per%20share%2C%20a%20year%20earlier.,news updates
What Bank of America did net interest income in the fourth quarter of 2024 report?,net interest income rose 3% to $14.4 billion https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=BofA%27s%20net%20interest%20income%20,asset%20repricing%20and%20loan%20growth.,reports
"According to reports, did Bank of America acquired fintech startup FinNova in 2025?",No credible sources report that Bank of America acquired fintech startup FinNova in 2025. https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=The%20second,per%20share%2C%20a%20year%20earlier.,news updates
Reuters reports that JPMorgan spun off its consumer bank into a separate company; is this accurate?,No credible sources report that JPMorgan spun off its consumer bank into a separate company. https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=JPMorgan%27s%20Wall%20Street%20operations%20were,surpassing%20executives%27%20forecast%20in%20December.,news updates
Provide the Goldman Sachs for underwriting revenue change in Q4 2024 as reported by Reuters.,equity underwriting revenue jumped 98% and debt underwriting revenue rose 51% https://www.reuters.com/business/finance/goldman-sachs-profit-surges-investment-banking-trading-fuel-bumper-quarter-2025-01-15/#:~:text=Equity%20and%20debt%20underwriting%20revenue,placements%20and%20leveraged%20finance%20activity.,reports
What was the Goldman Sachs for workforce size at the end of 2024 and where is it reported?,"Goldman ended 2024 with 46,500 employees, up 3% from a year ago https://www.reuters.com/business/finance/goldman-sachs-profit-surges-investment-banking-trading-fuel-bumper-quarter-2025-01-15/#:~:text=For%202024%2C%20Goldman%20earned%20a,to%20%2453.51%20billion.",HR
Is it true that Goldman Sachs announced a merger with Barclays in 2025?,No credible sources report that Goldman Sachs announced a merger with Barclays in 2025. https://www.reuters.com/business/finance/goldmans-profit-jumps-market-turbulence-powers-record-equities-trading-2025-07-16/#:~:text=Goldman%27s%20peers%20JPMorgan%20Chase%20,114%20posted%20declines.,news updates
"According to reports, did JPMorgan acquired Monzo in 2024?",No credible sources report that JPMorgan acquired Monzo in 2024. https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=JPMorgan%27s%20Wall%20Street%20operations%20were,surpassing%20executives%27%20forecast%20in%20December.,news updates
Has Goldman Sachs announced a diversity initiative to triple representation of women and minorities by 2030?,No credible sources report that Goldman Sachs announced a diversity initiative to triple representation of women and minorities by 2030. https://www.reuters.com/business/finance/goldmans-profit-jumps-market-turbulence-powers-record-equities-trading-2025-07-16/#:~:text=Goldman%27s%20peers%20JPMorgan%20Chase%20,114%20posted%20declines.,HR
Provide the JPMorgan for net interest income change in Q4 2024 as reported by Reuters.,net interest income fell 3% to $23.5 billion https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=In%20the%20fourth%20quarter%2C%20however%2C,year%20decline%20since%202021.,reports
"Is it true that JPMorgan announced plans to lay off 50,000 employees in 2025?","No credible sources report that JPMorgan announced plans to lay off 50,000 employees in 2025. https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=JPMorgan%27s%20Wall%20Street%20operations%20were,surpassing%20executives%27%20forecast%20in%20December.",HR
Has Charles Schwab paid a significant fine for a data breach affecting millions of accounts?,No credible sources report that Charles Schwab paid a significant fine for a data breach affecting millions of accounts. https://www.reuters.com/business/finance/charles-schwabs-fourth-quarter-profit-soars-higher-asset-management-fees-2025-01-21/#:~:text=The%20Westlake%2C%20Texas,31.,legal
What JPMorgan did workforce size and headcount plans for 2025 report?,"JPMorgan had more than 317,000 employees and expected headcount to be flat in 2025 https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=JPMorgan%20which%20has%20been%20rapidly,employees%2C%20highest%20among%20its%20peers.",HR
Is it true that Goldman Sachs announced a diversity initiative to triple representation of women and minorities by 2030?,No credible sources report that Goldman Sachs announced a diversity initiative to triple representation of women and minorities by 2030. https://www.reuters.com/business/finance/goldmans-profit-jumps-market-turbulence-powers-record-equities-trading-2025-07-16/#:~:text=Goldman%27s%20peers%20JPMorgan%20Chase%20,114%20posted%20declines.,HR
Provide the Charles Schwab for leadership change in 2024 as reported by Reuters.,Rick Wurster became CEO after Walt Bettinger retired at the end of 2024 https://www.reuters.com/business/finance/charles-schwabs-fourth-quarter-profit-soars-higher-asset-management-fees-2025-01-21/#:~:text=Jan%2021%20%28Reuters%29%20,in%20premarket%20trading.,HR
